filename,study_type,has_hypnogram,EEG Fpz-Cz_delta_power,EEG Fpz-Cz_delta_rel_power,EEG Fpz-Cz_theta_power,EEG Fpz-Cz_theta_rel_power,EEG Fpz-Cz_alpha_power,EEG Fpz-Cz_alpha_rel_power,EEG Fpz-Cz_beta_power,EEG Fpz-Cz_beta_rel_power,EEG Fpz-Cz_gamma_power,EEG Fpz-Cz_gamma_rel_power,EEG Pz-Oz_delta_power,EEG Pz-Oz_delta_rel_power,EEG Pz-Oz_theta_power,EEG Pz-Oz_theta_rel_power,EEG Pz-Oz_alpha_power,EEG Pz-Oz_alpha_rel_power,EEG Pz-Oz_beta_power,EEG Pz-Oz_beta_rel_power,EEG Pz-Oz_gamma_power,EEG Pz-Oz_gamma_rel_power
SC4201E0-PSG.edf,SC,True,2.820060453569797e-10,1066.51738068195,1.9125054262616433e-11,72.32895575605788,5.897501255715073e-12,22.303733183633597,1.862267260747506e-12,7.042900085875845,6.468910071491111e-12,24.464741585877594,8.715241437913796e-11,936.592651749147,8.192943810585111e-12,88.0463384044183,3.2552668206493437e-12,34.98306966505339,1.4989426157347923e-12,16.108545578364485,3.2742330807660414e-12,35.186892588181884
SC4171E0-PSG.edf,SC,True,1.0505847960274319e-10,1084.5656353199654,1.1547319491887911e-11,119.20813958395628,2.4988078998562466e-12,25.79631066143256,9.014536208847853e-13,9.306108585840054,8.985249660733076e-13,9.275874773412406,5.841226786865812e-11,1081.9569720782554,5.197235166307819e-12,96.2671888782156,1.7072884218917844e-12,31.62370986121983,4.595207157220375e-13,8.51159628500947,7.293040557850097e-13,13.508730900430066
SC4272F0-PSG.edf,SC,True,1.0780018744546635e-10,866.8507675058844,8.446443857983968e-12,67.92016335493572,3.289704392416287e-12,26.45341204880686,1.1575384035968372e-12,9.30808264209242,7.41458200006814e-12,59.62268016227546,5.1032521453769795e-11,895.903842950216,3.3896333700525846e-12,59.50686887328146,2.823704097442106e-12,49.57167077359409,1.2838932617243204e-12,22.539448852408935,2.21955108189565e-12,38.965433947762165
SC4421E0-PSG.edf,SC,True,1.9049155228266377e-10,1134.7022646381827,1.1803110016775938e-11,70.30766196884073,3.779927736431805e-12,22.51592005682968,1.8833710969921452e-12,11.218688825318452,1.5060040873305229e-12,8.970824312001913,1.8708404484788225e-11,322.0978160125275,7.036587822362859e-12,121.14713318317906,5.4753283398656825e-12,94.26732790902653,4.232519166417744e-12,72.87020017355323,4.644738053808403e-12,79.9672673475928
SC4751E0-PSG.edf,SC,True,6.571348600763071e-11,1046.6740116498975,3.574977658008414e-12,56.9416787055235,1.3575253125371093e-12,21.622448467039206,1.0209387321701572e-12,16.261350650690073,1.4567576276191543e-12,23.203005086728655,1.0688783905627764e-11,596.6175759097919,1.5329734263884794e-12,85.56622508800798,1.0060490733805278e-12,56.1548034562245,6.738635815131831e-13,37.61315225809812,1.3431051457929945e-12,74.96831663451256
SC4452F0-PSG.edf,SC,True,8.88471044577658e-11,887.70931517185,8.280803245874199e-12,82.73703710808212,3.68594147407715e-12,36.82781337316332,2.94213377917762e-12,29.396113449023574,3.3071623220497193e-12,33.043269310644305,1.2861386689858303e-11,704.3271127674134,2.3609979724180674e-12,129.295147192348,1.3599253390006102e-12,74.47348491223215,8.387163149467523e-13,45.93055591767445,6.496194365777885e-13,35.57505836623504
SC4622E0-PSG.edf,SC,True,7.775061560324585e-11,1086.674844252393,4.385725582786785e-12,61.29671935883175,2.217404862206774e-12,30.99136983788013,9.970595789581248e-13,13.935318122798822,1.0774979987115291e-12,15.059558832396371,7.166780715252527e-12,254.79392950556874,2.551828609658872e-12,90.72280354496743,2.503444858017253e-12,89.00266075076235,2.0259919515471632e-12,72.02821894393185,2.835000130579417e-12,100.79013885297563
SC4592G0-PSG.edf,SC,True,1.0715782034085696e-10,740.3066160541827,4.470500133852907e-12,30.884734456478668,1.8626646045758124e-12,12.868336868659325,4.797806448303181e-13,3.314595094346112,1.4134389557968397e-11,97.6483290754426,1.1549029744751316e-11,908.5252244448276,9.680509110105303e-13,76.1534683551722,6.399814000065512e-13,50.345289425348774,1.6438136455367853e-13,12.931356090198868,5.34214299726723e-13,42.024929997382074
SC4002E0-PSG.edf,SC,True,1.5070196925337225e-10,1046.9419302696404,1.3362443925254798e-11,92.83025899087937,4.011694816419268e-12,27.869652503964975,2.256403589552174e-12,15.675465564364128,2.2327816855458002e-12,15.511361791204417,2.5988680483343494e-11,950.5719266686797,3.664517670766061e-12,134.0348012221732,2.0290490261593287e-12,74.21527396658897,4.923709752097377e-13,18.009149284852167,3.7926071395262397e-13,13.871985066834908
SC4112E0-PSG.edf,SC,True,1.5407620397225006e-10,975.8775583781542,1.490560648974135e-11,94.40813371787235,4.783454633502179e-12,30.29712511086734,3.264689220901904e-12,20.67767029314295,3.763192642396848e-12,23.83505793166018,1.875629113103023e-11,510.7403049965842,3.5742451796700255e-12,97.3279344218075,2.7861232455135627e-12,75.86710113586884,2.0450043703749828e-12,55.68617742964713,2.5232831956026307e-12,68.70987552452522
SC4482F0-PSG.edf,SC,True,1.3611359856005202e-10,864.5529270183929,1.2733552368157302e-11,80.87972170080708,6.196537487598432e-12,39.35855549303445,5.180241817051078e-12,32.9033489157123,5.3995044704312516e-12,34.29603980604986,3.458429724645519e-11,604.078277246923,4.629302389521411e-12,80.85926952307202,3.745008995338593e-12,65.41346108775552,3.1931948960606045e-12,55.775014249383624,3.2338967421227917e-12,56.48594675365869
SC4732E0-PSG.edf,SC,True,4.395829400653825e-11,957.002795331254,3.4660833318792068e-12,75.45905755501106,1.2719083616092453e-12,27.690334326536803,1.0462223120938752e-12,22.776991233163972,1.3514727478622354e-12,29.42250664518051,3.718924390071335e-12,800.8099848684379,5.334404976050566e-13,114.86774992140225,3.3070854363436024e-13,71.21271530304364,1.574226160250489e-13,33.89840435947965,1.4875658081969908e-13,32.03231438459515
SC4442E0-PSG.edf,SC,True,1.8172328752146364e-10,771.34960421269,2.047538991552625e-11,86.91062176374207,1.074139519331405e-11,45.593336132422124,9.408501902227018e-12,39.9356863806461,1.0112173661166771e-11,42.92251839407045,1.2817831961011462e-11,736.7506571358617,2.4884988385021227e-12,143.0353557547803,1.9408641369364015e-12,111.55809599071107,6.66293462624363e-13,38.297595718760824,4.631765566497613e-13,26.622726333097397
SC4802G0-PSG.edf,SC,True,7.312276233829691e-11,1013.8408527178793,7.4333374537531e-12,103.06258874339345,3.060965797657455e-12,42.440029276793,1.3029568376297473e-12,18.065385238124218,1.0898181302501588e-12,15.110235269401887,2.3751622197515752e-11,890.0403599138053,4.280054285016101e-12,160.38572121969813,2.6764637002909263e-12,100.29465336276391,5.085108438452796e-13,19.05533738758541,3.757115604875581e-13,14.078973206095341
SC4542F0-PSG.edf,SC,True,1.660865838254512e-10,1062.4994741324222,8.354016644516467e-12,53.44283738788096,2.8238123367020163e-12,18.064668763057377,2.1026304529769416e-12,13.451078944044554,3.759478957299221e-12,24.05037374566204,1.0501115132915814e-11,842.9121547145893,1.3078684030102498e-12,104.98105769824022,9.246191080819898e-13,74.21808777628986,4.175547428608428e-13,33.51662785915966,3.193764121123108e-13,25.63596877961787
SC4641E0-PSG.edf,SC,True,6.147961686578478e-11,1101.2309833121508,4.354401551916821e-12,77.99661330391255,1.0973392393535528e-12,19.65568478115946,7.393800963878946e-13,13.243873532331918,6.796533259512111e-13,12.174039764798264,6.775962822274932e-12,723.3368857830118,1.268072663501584e-12,135.36729102888634,7.447243859902695e-13,79.49964193398729,3.379020113940196e-13,36.07118206405778,3.6354393327470957e-13,38.8084680269761
SC4531E0-PSG.edf,SC,True,9.677990003884172e-11,990.837028103519,5.5480896558826196e-12,56.80159479479043,2.386486826757555e-12,24.432960915268925,2.1978355569509886e-12,22.501540615722497,2.6704841238860875e-12,27.340538188683468,1.1083530187768383e-11,617.4000717998891,1.3734290355068033e-12,76.50587590492995,1.0734526748597385e-12,59.79590864141701,9.251934138812248e-13,51.53723321739463,1.0720933041469773e-12,59.72018587426222
SC4362F0-PSG.edf,SC,True,7.534320238035888e-11,954.1367414722657,6.258280674836718e-12,79.25407125864612,2.698555897352742e-12,34.17416899247875,1.83107454429391e-12,23.188495363728435,2.1641848373434974e-12,27.406961788299476,1.7429213658549094e-11,661.6702428301082,3.2316458295424416e-12,122.68389857768585,2.5708353165127813e-12,97.59735932314199,1.1974494589214313e-12,45.45911765059411,1.0710729156923639e-12,40.661448651603386
SC4061E0-PSG.edf,SC,True,3.1240141600203044e-10,983.9484711371636,3.02404491239879e-11,95.24618698225005,9.019109255334678e-12,28.406845514259516,6.5791161343919736e-12,20.721773110742735,7.185340407498943e-12,22.631154490390397,7.934419609079854e-12,689.0133017137946,9.590339936709539e-13,83.28109817620562,7.120941124261782e-13,61.83720293444556,5.086155975889693e-13,44.16742867958189,5.913584743843732e-13,51.352698118679584
SC4311E0-PSG.edf,SC,True,9.959422413797719e-11,866.5313621640637,9.848101409286047e-12,85.6845746104308,5.5067990479441744e-12,47.91255839864764,3.879434644059582e-12,33.753481345325795,3.4967917132474004e-12,30.42425113213822,1.0031476948526792e-11,529.2234755838978,1.954899236152957e-12,103.13322489617161,2.1643600016109773e-12,114.18359712579993,1.0259648720224998e-12,54.126097102628066,1.093034692235985e-12,57.6644517778467
SC4232E0-PSG.edf,SC,True,7.631858264493803e-11,594.6047052196178,5.46789124088576e-12,42.60081551285795,1.6738498844357348e-12,13.041109813938808,8.409630587085973e-13,6.552016223236029,1.539391154861621e-11,119.93530174854368,1.133063834630624e-11,773.0534236795842,1.465107704599179e-12,99.95963973812289,1.0128809268677429e-12,69.10564474508347,5.132210697189876e-13,35.01544157749069,5.793636463572948e-13,39.52813925245457
SC4142E0-PSG.edf,SC,True,9.761375846056661e-11,758.7381450890474,9.141818650563514e-12,71.05808274425863,3.6496217671540244e-12,28.36800153541575,2.155898026390822e-12,16.757495002159096,9.270687129007965e-12,72.0597594734145,1.8597413185105436e-11,780.7674046937566,2.059482929693879e-12,86.46240883199843,1.608209604419699e-12,67.51678991850191,9.105210481619441e-13,38.226023620414054,9.02222180959878e-13,37.87761575622547
SC4461F0-PSG.edf,SC,True,8.570685821672844e-11,1115.3614711612456,7.258362768902183e-12,94.45799723136528,1.3748940835650788e-12,17.892429143280932,7.89943858347281e-13,10.28007515749824,7.67685925657974e-13,9.99041758439509,9.483030393757619e-12,561.4775465369366,1.7497572566710083e-12,103.60078695493313,1.3066429651218516e-12,77.36458239544444,9.139781603851527e-13,54.1154244764635,9.972501938775374e-13,59.04585020738
SC4412E0-PSG.edf,SC,True,1.6922422490826044e-10,697.4866284967019,1.5708752022827413e-11,64.74631213251197,7.519145311849956e-12,30.991445318081084,5.826075154337342e-12,24.013166666711648,1.8800065665463195e-11,77.4876908056705,5.7232123756610684e-11,757.8343354906029,3.14430888154017e-12,41.6351006290232,1.4796580459637632e-12,19.59276711073911,5.132041277632811e-13,6.795549135805001,6.637144036485789e-12,87.88518248660385
