filename,study_type,has_hypnogram,EOG horizontal_mean,EOG horizontal_std,EOG horizontal_rms,EMG submental_mean,EMG submental_std,EMG submental_rms
SC4201E0-PSG.edf,SC,True,5.39901911041091e-05,8.371552252289279e-05,8.374173708180704e-05,3.330472015514787e-06,6.897197735788827e-07,3.4011389926818695e-06
SC4171E0-PSG.edf,SC,True,2.8926789440551084e-05,4.725172400152542e-05,4.727147193069384e-05,3.2712936562450227e-06,1.2152538970267656e-06,3.489672228090474e-06
SC4272F0-PSG.edf,SC,True,4.2759449637769605e-05,6.970371985088798e-05,6.970660035567984e-05,3.1571977493254413e-06,1.3400763373496598e-06,3.429509851902251e-06
SC4421E0-PSG.edf,SC,True,6.563548073786646e-05,0.0001020215698048179,0.00010210643335130901,2.8143471345543208e-06,5.67355744556475e-07,2.870540586523877e-06
SC4751E0-PSG.edf,SC,True,3.230340805268527e-05,6.233009726340854e-05,6.240523118127667e-05,2.402995239529912e-06,1.6069690826193836e-06,2.753311385870347e-06
SC4452F0-PSG.edf,SC,True,3.439251538885307e-05,5.605115022574407e-05,5.609777212708296e-05,3.083527806725547e-06,7.921230949069021e-07,3.1824505250071473e-06
SC4622E0-PSG.edf,SC,True,4.21250099491364e-05,7.057062460933594e-05,7.057123687276133e-05,2.9190725450222706e-06,1.2445274054442219e-06,3.1732519202841065e-06
SC4592G0-PSG.edf,SC,True,2.489403556545125e-05,4.320999067029664e-05,4.339089035329209e-05,3.173368801998946e-06,6.937354334081644e-07,3.2478553063648587e-06
SC4002E0-PSG.edf,SC,True,4.052238948529545e-05,6.515004010926545e-05,6.516536758912577e-05,3.1844900788862272e-06,1.4933260647636161e-06,3.5095099749791586e-06
SC4112E0-PSG.edf,SC,True,5.155614237020636e-05,7.798993498639204e-05,7.800398916764792e-05,3.2344026720631817e-06,5.625790015827571e-07,3.270434792557009e-06
SC4482F0-PSG.edf,SC,True,5.815957469424093e-05,9.125419684744777e-05,9.125619274191853e-05,2.6812576711299386e-06,9.377001970984455e-07,2.8401161472136255e-06
SC4732E0-PSG.edf,SC,True,2.789309938688299e-05,4.4195082823372204e-05,4.51577581181374e-05,2.210569431996354e-06,1.6335747574770406e-06,2.3757393495005764e-06
SC4442E0-PSG.edf,SC,True,5.590946435537903e-05,8.754776495754802e-05,8.755049091464292e-05,2.61881285724829e-06,1.4720850660992586e-06,2.9310007995035204e-06
SC4802G0-PSG.edf,SC,True,4.223366455695612e-05,7.195710276264743e-05,7.196123112952296e-05,5.919224239558769e-06,1.150998985672391e-06,6.007750964515556e-06
SC4542F0-PSG.edf,SC,True,3.976681783178127e-05,6.789890478702576e-05,6.797920337497546e-05,2.779269899682722e-06,1.3785726779614234e-06,3.1020049924841602e-06
