filename,study_type,has_hypnogram,EEG Fpz-Cz_delta_power,EEG Fpz-Cz_delta_rel_power,EEG Fpz-Cz_theta_power,EEG Fpz-Cz_theta_rel_power,EEG Fpz-Cz_alpha_power,EEG Fpz-Cz_alpha_rel_power,EEG Fpz-Cz_beta_power,EEG Fpz-Cz_beta_rel_power,EEG Fpz-Cz_gamma_power,EEG Fpz-Cz_gamma_rel_power,EEG Pz-Oz_delta_power,EEG Pz-Oz_delta_rel_power,EEG Pz-Oz_theta_power,EEG Pz-Oz_theta_rel_power,EEG Pz-Oz_alpha_power,EEG Pz-Oz_alpha_rel_power,EEG Pz-Oz_beta_power,EEG Pz-Oz_beta_rel_power,EEG Pz-Oz_gamma_power,EEG Pz-Oz_gamma_rel_power
ST7172J0-PSG.edf,ST,True,8.377544668154336e-11,1190.1148651295816,3.4292775443923414e-12,48.716352390819715,1.5477033452755849e-12,21.986689787821277,6.231291376868913e-13,8.852178997929816,3.0736988330785806e-13,4.366499752706394,3.2689295227770747e-11,1144.5219130522496,1.7942031230463086e-12,62.81887622492255,9.811346413026544e-13,34.35161537748837,3.2646508816937967e-13,11.430238695968075,1.4659599877654703e-13,5.132638430913667
ST7202J0-PSG.edf,ST,True,8.117291871824959e-11,1123.5676376454783,4.575706095884931e-12,63.335350876789406,2.6578161856253917e-12,36.78857801509188,1.2553901044099943e-12,17.37667828394016,2.639702367831973e-13,3.653785277583401,1.6876482132234643e-11,1037.2067368295302,1.4476403899989685e-12,88.97010367732616,7.619881258729391e-13,46.830803442735636,4.085488364348032e-13,25.1088824171874,9.26559259048836e-14,5.694513216836965
ST7111J0-PSG.edf,ST,True,2.515335303619414e-10,1225.7886601550229,8.30759486065621e-12,40.48508188431698,2.9886727643966347e-12,14.564583808131,1.5820980567791308e-12,7.709977490724977,3.581178237985985e-13,1.7452017899166596,7.618819929444618e-11,1162.7525561758773,4.050945086949641e-12,61.82383621609186,1.663789647716761e-12,25.392064436974415,7.452131642150847e-13,11.373132842242772,2.4351146426285626e-13,3.7163705160624123
ST7062J0-PSG.edf,ST,True,6.136157136876196e-10,1099.224060172331,5.537457206309512e-11,99.19736502133982,1.957730447929804e-11,35.07055578423356,7.011878216429831e-12,12.560997169022517,2.782020553923587e-12,4.983679297241019,1.4766257355575956e-10,1223.8440374085806,3.996268138361256e-12,33.121520336854154,2.520747199437147e-12,20.89223664167406,7.25575144834072e-13,6.013648504925509,4.124390145054201e-13,3.4183409955707185
ST7141J0-PSG.edf,ST,True,1.5933838871256997e-10,1206.5061319672936,7.209960753404934e-12,54.59363515918584,2.5435163732491838e-12,19.259439773927255,9.56711735380089e-13,7.244196358376309,2.908949221968941e-13,2.202648779270694,5.745659858517576e-11,1151.4779534770628,3.588027167062501e-12,71.90704429230168,1.687863464016745e-12,33.82618559317493,5.097100902984204e-13,10.215013524919376,1.7343552104030285e-13,3.475791880225258
ST7081J0-PSG.edf,ST,True,1.3640325471764419e-10,1179.3206494425872,6.410943642122352e-12,55.4279898615174,2.929935287879979e-12,25.33175028469766,1.2133842147472813e-12,10.490725189228547,3.2714674785229084e-13,2.828458279377758,3.056063956080647e-11,989.9461874446736,3.096444120251041e-12,100.30264731138705,2.549966973255404e-12,82.60069552083044,6.731621407347004e-13,21.80563968324313,2.302537216771604e-13,7.458574074201632
ST7122J0-PSG.edf,ST,True,1.816219396335514e-10,1185.531396913007,8.104778115637935e-12,52.9036797012998,4.531767922846631e-12,29.580970046338166,1.6098719940244344e-12,10.508387906096035,2.85574161184383e-13,1.8640761953884533,1.1026793939905914e-10,1252.8807283670699,2.3763107710684195e-12,26.999996426051993,1.444577513076696e-12,16.41350456560417,4.5290165307612184e-13,5.145935945453091,9.614538049006369e-14,1.092418113496985
ST7191J0-PSG.edf,ST,True,1.4099666086892817e-10,1146.2555527629065,9.18623661557432e-12,74.68102198097138,4.348803311652481e-12,35.35431203217874,1.1874449859764324e-12,9.653529384226077,5.360598751584737e-13,4.357986953215866,6.575497933077659e-11,1083.6181847068365,5.834860645769264e-12,96.15638489033,4.466484987083882e-12,73.60605087223911,6.892809489507116e-13,11.359099770948923,1.3669288884073199e-13,2.252649176920941
ST7051J0-PSG.edf,ST,True,1.250134461196814e-10,1192.3452824880173,5.594532687218932e-12,53.3591774675534,2.2082821578133833e-12,21.062012887401853,1.0732094103287053e-12,10.235988345622609,2.1594543357473317e-13,2.0596305996649606,3.087054237831404e-11,1098.6680645625008,1.953228135780317e-12,69.51446946699161,1.0030927258147041e-12,35.6995976987351,4.825784542322943e-13,17.174739912681574,1.9848102710479355e-13,7.06384627873552
ST7092J0-PSG.edf,ST,True,1.0596211898164178e-10,1202.3793000312185,4.4043332252304986e-12,49.97709701685351,1.6512836191364855e-12,18.737538105238652,6.502247046625618e-13,7.378266240510239,3.2970746028626305e-13,3.7412749869861592,1.8054754430657077e-11,1057.8913968617906,1.511065578630989e-12,88.53863296048885,1.2256093991936842e-12,71.81275404767497,2.780439075615634e-13,16.29156790190184,7.459671311228915e-14,4.370883101110437
